exercise_points exam_points grades
8.17 27.74 2.00
13.59 38.24 4.00
13.07 39.48 4.00
0.00 24.84 0.00
8.78 35.29 3.00
8.58 30.41 2.00
10.49 32.09 3.00
8.95 34.21 3.00
10.33 33.10 3.00
13.65 38.34 4.00
13.08 38.44 4.00
12.77 36.30 4.00
15.14 40.00 5.00
10.29 33.62 3.00
15.46 40.00 5.00
8.11 31.19 2.00
13.03 36.81 4.00
12.21 37.94 4.00
5.24 31.68 2.00
4.93 35.92 2.00
15.03 40.00 5.00
10.50 30.35 2.00
4.27 28.02 1.00
9.08 37.49 3.00
4.62 32.16 2.00
14.64 35.47 4.00
20.00 40.00 5.00
5.64 31.93 2.00
11.18 40.00 4.00
13.00 37.49 4.00
4.79 31.73 2.00
16.32 40.00 5.00
4.05 31.54 1.00
1.27 25.80 0.00
4.56 29.49 1.00
15.03 40.00 5.00
11.25 40.00 4.00
8.96 32.16 2.00
12.78 38.84 4.00
15.72 38.75 5.00
5.41 31.33 2.00
10.54 35.22 3.00
13.78 36.50 4.00
4.04 26.79 1.00
6.43 27.44 1.00
14.89 38.01 4.00
16.18 40.00 5.00
4.51 31.13 1.00
9.63 35.10 3.00
8.97 27.71 2.00
14.75 40.00 5.00
11.63 40.00 4.00
15.07 39.24 5.00
3.77 29.26 1.00
8.52 35.54 3.00
7.40 37.53 3.00
12.01 40.00 4.00
5.88 29.88 1.00
20.00 40.00 5.00
2.17 27.33 0.00
8.42 39.04 3.00
17.43 40.00 5.00
11.55 34.30 3.00
13.06 39.74 4.00
15.61 38.65 5.00
4.82 22.41 0.00
6.93 26.63 1.00
11.21 36.37 3.00
3.30 23.60 0.00
15.91 34.47 4.00
5.73 30.83 2.00
10.46 35.20 3.00
8.27 38.11 3.00
15.72 38.10 4.00
1.51 31.45 1.00
9.63 31.13 2.00
12.57 34.73 3.00
11.53 40.00 4.00
10.28 38.26 4.00
7.62 31.64 2.00
11.77 38.20 4.00
6.97 31.99 2.00
13.43 35.30 4.00
7.81 25.94 1.00
10.55 36.77 3.00
4.56 31.00 1.00
14.56 36.77 4.00
6.31 33.02 2.00
13.17 40.00 4.00
12.25 32.57 3.00
13.50 40.00 4.00
16.78 40.00 5.00
15.64 38.52 5.00
0.09 27.46 0.00
6.69 30.37 2.00
1.09 20.73 0.00
0.07 24.12 0.00
11.33 34.96 3.00
7.55 31.56 2.00
7.70 32.76 2.00
8.94 32.04 2.00
8.05 38.27 3.00
11.47 38.20 4.00
5.79 32.63 2.00
8.22 36.05 3.00
11.84 37.60 4.00
4.31 28.33 1.00
2.60 24.32 0.00
13.29 40.00 4.00
10.75 32.00 3.00
13.09 40.00 4.00
7.17 30.67 2.00
11.04 35.12 3.00
11.58 39.68 4.00
11.62 37.08 4.00
17.74 40.00 5.00
11.71 38.90 4.00
5.93 30.45 2.00
9.95 31.60 2.00
7.34 36.75 3.00
18.22 40.00 5.00
16.58 40.00 5.00
6.44 29.14 1.00
13.72 39.73 4.00
9.64 32.02 2.00
13.09 40.00 4.00
11.86 39.62 4.00
6.11 28.23 1.00
16.24 33.73 4.00
20.00 40.00 5.00
5.25 32.61 2.00
7.42 34.89 3.00
12.35 35.94 4.00
8.55 29.65 2.00
8.89 34.53 3.00
1.88 30.58 1.00
9.03 39.65 4.00
12.09 35.78 3.00
10.14 37.56 3.00
13.31 40.00 4.00
4.18 29.49 1.00
13.06 40.00 4.00
5.00 26.78 1.00
13.02 38.53 4.00
15.44 40.00 5.00
4.91 30.99 1.00
4.02 29.25 1.00
7.11 24.90 1.00
17.00 38.47 5.00
9.39 33.62 3.00
5.26 30.01 1.00
6.27 31.78 2.00
6.49 33.94 2.00
15.19 40.00 5.00
5.59 30.26 1.00
12.84 38.42 4.00
11.66 36.97 4.00
13.30 35.72 4.00
11.97 39.37 4.00
17.07 40.00 5.00
9.35 30.36 2.00
15.77 35.40 4.00
7.54 34.15 2.00
3.64 22.38 0.00
13.32 40.00 4.00
16.60 34.31 4.00
4.23 30.67 1.00
7.51 31.95 2.00
7.87 35.07 3.00
7.75 28.65 2.00
9.44 38.25 3.00
17.01 40.00 5.00
20.00 40.00 5.00
11.99 37.62 4.00
9.69 32.95 3.00
11.66 32.28 3.00
10.65 31.48 3.00
1.08 18.46 0.00
11.09 35.08 3.00
15.09 38.46 4.00
6.06 29.56 1.00
9.18 39.99 4.00
14.45 34.85 4.00
10.65 35.87 3.00
14.14 40.00 5.00
12.53 37.17 4.00
11.49 32.67 3.00
14.44 40.00 5.00
13.12 36.05 4.00
8.87 37.82 3.00
11.62 31.01 3.00
6.82 34.71 2.00
14.51 37.18 4.00
7.72 30.32 2.00
9.28 32.68 3.00
13.04 40.00 4.00
9.21 27.58 2.00
5.45 27.31 1.00
16.98 40.00 5.00
11.55 36.93 4.00
16.58 40.00 5.00
10.72 35.29 3.00
10.41 33.99 3.00
11.89 36.51 4.00
8.46 33.87 3.00
1.02 21.96 0.00
9.85 27.71 2.00
15.93 37.91 4.00
4.42 31.19 1.00
4.43 28.07 1.00
5.49 29.53 1.00
3.33 26.52 0.00
12.97 30.85 3.00
5.82 30.58 2.00
19.31 40.00 5.00
17.28 40.00 5.00
7.46 31.69 2.00
8.72 38.39 3.00
5.52 31.57 2.00
13.99 36.72 4.00
17.34 39.12 5.00
8.22 36.36 3.00
15.03 39.68 5.00
8.67 34.42 3.00
15.81 39.31 5.00
8.04 31.73 2.00
7.37 30.13 2.00
20.00 39.89 5.00
4.85 34.71 2.00
15.87 40.00 5.00
14.55 36.64 4.00
6.73 32.37 2.00
11.70 38.37 4.00
4.41 32.03 2.00
8.30 32.42 2.00
13.79 40.00 4.00
0.78 28.37 0.00
11.01 39.30 4.00
16.75 37.30 5.00
19.69 40.00 5.00
4.74 30.97 1.00
20.00 40.00 5.00
0.63 23.01 0.00
17.41 40.00 5.00
2.89 28.48 1.00
10.08 39.07 4.00
14.58 40.00 5.00
7.59 29.31 2.00
18.71 40.00 5.00
10.59 40.00 4.00
10.56 35.55 3.00
15.72 40.00 5.00
6.38 32.91 2.00
11.91 33.68 3.00
19.58 40.00 5.00
3.34 28.37 1.00
4.02 30.10 1.00
14.53 38.84 4.00
4.56 27.90 1.00
11.49 36.26 3.00
16.73 39.82 5.00
7.96 40.00 4.00
16.52 38.84 5.00
11.36 33.48 3.00
18.54 40.00 5.00
10.51 36.74 3.00
12.28 38.10 4.00
2.07 25.52 0.00
5.97 31.88 2.00
11.68 36.72 4.00
9.40 29.78 2.00
9.37 33.41 3.00
11.59 33.19 3.00
16.62 40.00 5.00
14.28 40.00 5.00
11.25 38.86 4.00
17.57 40.00 5.00
0.68 28.56 0.00
12.11 36.10 4.00
9.63 39.29 4.00
14.29 40.00 5.00
8.13 33.85 3.00
16.64 39.30 5.00
2.82 28.87 1.00
7.91 32.41 2.00
5.48 25.59 1.00
9.80 31.85 2.00
10.76 37.94 4.00
9.55 32.62 3.00
17.55 40.00 5.00
5.13 28.50 1.00
17.17 40.00 5.00
5.71 28.03 1.00
4.85 30.86 1.00
11.02 40.00 4.00
16.59 39.97 5.00
12.54 35.04 3.00
2.18 26.10 0.00
2.70 34.22 2.00
5.83 31.41 2.00
8.80 32.45 2.00
8.64 35.77 3.00
14.54 39.40 5.00
11.38 36.18 3.00
9.02 35.81 3.00
6.98 32.04 2.00
10.42 38.62 4.00
9.78 34.30 3.00
7.43 34.26 2.00
7.64 34.20 2.00
9.66 37.84 3.00
11.39 34.63 3.00
19.29 37.87 5.00
14.62 37.99 4.00
2.91 28.51 1.00
10.04 36.04 3.00
10.19 32.20 3.00
13.11 34.09 3.00
16.38 40.00 5.00
8.03 34.16 3.00
8.88 34.95 3.00
8.98 32.03 2.00
12.80 36.06 4.00
7.57 32.17 2.00
18.28 38.50 5.00
19.16 40.00 5.00
6.99 33.09 2.00
9.07 37.85 3.00
11.37 37.05 4.00
2.69 26.46 0.00
12.68 33.32 3.00
3.92 30.66 1.00
16.26 39.69 5.00
14.12 36.70 4.00
8.15 30.51 2.00
10.18 33.15 3.00
9.13 33.57 3.00
6.97 30.96 2.00
11.92 40.00 4.00
6.20 30.69 2.00
11.87 34.54 3.00
8.23 32.89 2.00
18.96 40.00 5.00
10.10 33.87 3.00
5.09 28.21 1.00
12.66 40.00 4.00
12.86 31.56 3.00
7.52 31.44 2.00
0.14 17.24 0.00
17.41 40.00 5.00
5.46 28.60 1.00
6.71 33.24 2.00
9.51 36.11 3.00
10.55 37.02 3.00
13.83 34.29 4.00
8.59 33.29 2.00
3.64 24.50 0.00
3.85 25.22 0.00
19.22 40.00 5.00
13.06 35.26 4.00
8.30 33.04 2.00
8.03 36.11 3.00
9.47 38.07 3.00
10.20 35.12 3.00
0.18 30.69 1.00
8.27 33.91 3.00
10.84 34.39 3.00
9.53 36.15 3.00
3.55 32.60 2.00
11.63 38.84 4.00
3.02 26.50 0.00
4.26 34.46 2.00
15.85 40.00 5.00
14.30 40.00 5.00
10.79 34.30 3.00
9.48 35.74 3.00
9.82 35.56 3.00
10.66 37.94 4.00
6.79 33.34 2.00
7.02 36.73 3.00
3.70 26.43 1.00
6.59 30.72 2.00
13.65 38.10 4.00
14.47 38.83 4.00
8.29 31.75 2.00
14.75 40.00 5.00
18.85 40.00 5.00
6.97 34.00 2.00
12.27 40.00 4.00
13.17 34.81 4.00
0.00 26.62 0.00
13.38 40.00 4.00
15.69 39.22 5.00
8.98 31.24 2.00
6.16 33.01 2.00
2.01 27.03 0.00
4.26 32.99 2.00
6.59 28.41 1.00
7.86 31.60 2.00
9.22 35.34 3.00
8.14 30.00 2.00
6.76 29.02 1.00
2.97 31.12 1.00
7.16 35.04 3.00
4.94 28.71 1.00
8.90 36.64 3.00
11.61 37.42 4.00
13.70 40.00 4.00
13.76 34.44 4.00
16.52 40.00 5.00
11.86 37.13 4.00
4.59 32.77 2.00
9.85 32.37 3.00
9.31 33.19 3.00
13.25 40.00 4.00
5.08 30.02 1.00
18.00 40.00 5.00
2.20 23.39 0.00
10.92 36.42 3.00
2.44 25.14 0.00
11.21 32.62 3.00
15.71 38.99 5.00
13.08 39.85 4.00
12.42 36.54 4.00
10.54 38.28 4.00
17.36 40.00 5.00
14.28 37.43 4.00
4.51 31.88 2.00
4.44 30.01 1.00
6.34 31.35 2.00
19.02 40.00 5.00
9.04 35.48 3.00
10.25 35.33 3.00
7.47 31.95 2.00
11.03 32.32 3.00
15.13 32.74 3.00
5.31 26.25 1.00
5.88 27.72 1.00
18.23 40.00 5.00
10.22 40.00 4.00
16.99 39.17 5.00
17.24 40.00 5.00
11.46 32.54 3.00
7.34 34.55 2.00
17.68 39.76 5.00
5.27 31.01 2.00
9.54 38.69 4.00
0.00 31.28 1.00
13.23 33.49 3.00
9.76 32.67 3.00
16.27 36.57 4.00
13.75 39.16 4.00
0.92 29.05 1.00
9.64 34.20 3.00
11.62 34.32 3.00
4.29 28.15 1.00
14.54 36.10 4.00
8.29 32.30 2.00
6.12 29.82 2.00
12.13 36.07 4.00
20.00 40.00 5.00
7.85 34.90 3.00
8.87 29.52 2.00
18.43 39.60 5.00
8.41 30.57 2.00
16.47 40.00 5.00
7.96 28.70 2.00
13.73 33.44 3.00
7.02 33.12 2.00
11.76 40.00 4.00
12.42 40.00 4.00
10.63 40.00 4.00
0.15 33.38 1.00
4.83 29.70 1.00
9.62 36.91 3.00
0.00 29.80 0.00
6.08 29.13 1.00
10.66 35.57 3.00
12.49 36.79 4.00
2.66 25.39 0.00
6.42 28.98 1.00
6.80 30.61 2.00
9.16 35.46 3.00
1.91 28.62 1.00
5.30 24.31 0.00
8.74 29.59 2.00
14.30 34.38 4.00
10.69 35.82 3.00
6.67 39.15 3.00
13.86 35.54 4.00
10.97 37.38 4.00
1.90 24.54 0.00
3.82 26.54 1.00
8.51 32.95 2.00
7.95 31.97 2.00
3.66 33.17 2.00
11.79 32.06 3.00
7.25 32.67 2.00
11.07 37.60 4.00
0.00 23.47 0.00
11.28 36.48 3.00
8.27 28.91 2.00
12.04 40.00 4.00
13.11 37.09 4.00
12.80 34.05 3.00
0.00 21.13 0.00
6.60 32.61 2.00
5.93 29.90 1.00
10.75 36.39 3.00
14.11 40.00 5.00
8.51 30.47 2.00
13.07 40.00 4.00
10.13 40.00 4.00
9.92 40.00 4.00
2.33 32.49 1.00
4.11 30.95 1.00
14.58 40.00 5.00
7.79 30.13 2.00
16.04 40.00 5.00
10.33 36.01 3.00
14.29 37.26 4.00
9.06 29.82 2.00
4.59 31.24 1.00
12.64 34.41 3.00
8.45 27.18 1.00
7.48 28.58 2.00
7.36 30.95 2.00
2.47 31.12 1.00
6.09 28.23 1.00
6.61 28.52 1.00
11.59 36.89 4.00
4.10 31.26 1.00
12.20 39.77 4.00
8.83 32.61 2.00
12.43 35.10 3.00
13.20 36.46 4.00
4.48 27.24 1.00
7.11 28.55 1.00
17.10 32.67 4.00
9.53 40.00 4.00
1.78 27.82 0.00
9.20 37.33 3.00
7.20 31.11 2.00
5.30 34.48 2.00
15.36 40.00 5.00
5.41 23.82 0.00
12.42 37.68 4.00
9.10 36.39 3.00
7.33 31.61 2.00
12.09 30.15 3.00
19.21 40.00 5.00
4.07 27.24 1.00
12.86 39.03 4.00
11.97 35.50 3.00
2.90 28.67 1.00
8.70 34.97 3.00
10.24 37.41 3.00
9.73 32.65 3.00
7.26 30.17 2.00
14.52 37.98 4.00
7.67 30.94 2.00
4.37 22.04 0.00
14.31 36.94 4.00
11.68 38.65 4.00
2.62 25.35 0.00
8.76 27.79 2.00
7.48 37.28 3.00
0.00 21.75 0.00
4.86 27.64 1.00
15.41 40.00 5.00
7.73 34.11 2.00
19.48 40.00 5.00
16.13 40.00 5.00
11.95 39.97 4.00
3.26 29.56 1.00
9.87 33.13 3.00
10.26 40.00 4.00
14.10 39.68 4.00
12.44 36.34 4.00
4.85 30.17 1.00
12.31 39.83 4.00
9.10 35.50 3.00
11.04 37.46 4.00
4.34 29.40 1.00
17.07 40.00 5.00
12.61 40.00 4.00
11.46 35.97 3.00
20.00 40.00 5.00
6.78 30.85 2.00
8.87 34.32 3.00
13.97 38.29 4.00
2.76 28.23 1.00
6.77 36.40 3.00
8.99 33.43 3.00
8.04 30.61 2.00
4.93 32.17 2.00
13.81 40.00 4.00
7.46 32.10 2.00
16.56 40.00 5.00
9.88 30.97 2.00
3.67 31.19 1.00
7.05 33.18 2.00
6.26 34.22 2.00
5.38 29.10 1.00
4.34 25.09 0.00
6.76 33.44 2.00
8.51 38.57 3.00
10.16 34.72 3.00
3.78 36.24 2.00
9.51 31.49 2.00
10.88 37.51 4.00
11.62 39.35 4.00
10.52 38.11 4.00
10.85 37.94 4.00
20.00 40.00 5.00
6.39 32.85 2.00
8.44 32.07 2.00
0.27 22.07 0.00
8.38 36.59 3.00
8.98 35.05 3.00
14.34 38.58 4.00
9.84 33.75 3.00
13.11 37.38 4.00
0.00 26.57 0.00
9.33 36.01 3.00
15.16 40.00 5.00
4.04 32.92 2.00
6.53 35.66 3.00
6.98 37.03 3.00
14.62 40.00 5.00
20.00 40.00 5.00
8.99 38.96 4.00
8.54 36.14 3.00
2.13 28.44 1.00
10.47 31.89 3.00
7.39 28.24 1.00
12.26 37.54 4.00
12.77 39.32 4.00
15.89 40.00 5.00
11.78 36.68 4.00
11.92 40.00 4.00
3.47 28.02 1.00
10.48 38.03 4.00
3.68 29.53 1.00
7.34 32.00 2.00
17.05 40.00 5.00
7.76 33.46 2.00
6.30 27.63 1.00
15.39 40.00 5.00
11.06 35.41 3.00
12.91 37.73 4.00
4.87 30.51 1.00
6.46 25.81 1.00
16.43 39.42 5.00
7.80 28.59 2.00
8.38 39.38 3.00
12.01 32.91 3.00
19.35 40.00 5.00
13.12 34.10 3.00
13.53 35.98 4.00
5.21 36.01 2.00
17.86 40.00 5.00
17.95 36.61 5.00
7.48 35.02 3.00
19.86 40.00 5.00
14.70 34.70 4.00
0.00 25.71 0.00
10.42 37.22 3.00
3.28 26.45 0.00
13.40 39.31 4.00
11.76 35.16 3.00
11.13 40.00 4.00
5.47 30.07 1.00
11.35 40.00 4.00
12.88 37.10 4.00
12.28 36.53 4.00
8.21 35.83 3.00
5.86 30.91 2.00
19.86 40.00 5.00
14.20 36.24 4.00
13.40 37.36 4.00
6.36 34.36 2.00
9.94 38.32 4.00
16.05 39.76 5.00
0.70 25.86 0.00
7.73 27.83 1.00
13.44 39.66 4.00
7.57 29.17 2.00
11.00 40.00 4.00
11.34 37.93 4.00
11.45 34.88 3.00
11.04 33.90 3.00
5.85 31.26 2.00
4.86 27.94 1.00
3.62 29.59 1.00
14.13 40.00 5.00
9.84 35.62 3.00
14.64 39.77 5.00
8.51 39.24 3.00
13.51 39.75 4.00
7.28 29.59 2.00
18.49 40.00 5.00
7.40 29.74 2.00
0.26 22.33 0.00
11.75 33.80 3.00
4.20 29.46 1.00
9.89 30.60 2.00
6.54 27.60 1.00
15.45 40.00 5.00
6.34 31.91 2.00
12.47 37.91 4.00
9.61 33.79 3.00
16.75 39.45 5.00
12.43 32.90 3.00
11.70 35.61 3.00
10.56 32.53 3.00
11.37 38.56 4.00
7.66 32.06 2.00
6.08 24.28 1.00
20.00 40.00 5.00
10.29 36.43 3.00
12.32 37.58 4.00
12.98 39.55 4.00
2.53 28.51 1.00
12.41 39.31 4.00
6.09 27.68 1.00
9.52 26.83 2.00
13.31 40.00 4.00
11.72 40.00 4.00
7.12 26.83 1.00
10.67 34.13 3.00
14.60 40.00 5.00
2.03 28.70 1.00
7.38 30.33 2.00
16.14 40.00 5.00
7.58 32.07 2.00
14.96 33.52 4.00
5.08 28.42 1.00
8.50 33.64 3.00
8.31 30.98 2.00
5.29 28.68 1.00
7.07 33.94 2.00
7.91 31.36 2.00
5.22 27.38 1.00
4.79 29.56 1.00
4.45 29.14 1.00
17.79 40.00 5.00
11.57 35.70 3.00
14.84 37.30 4.00
6.14 29.41 1.00
7.01 31.13 2.00
4.54 25.81 1.00
0.00 25.53 0.00
10.69 39.25 4.00
13.50 40.00 4.00
15.22 40.00 5.00
2.57 24.17 0.00
7.95 35.52 3.00
8.34 37.54 3.00
14.12 36.02 4.00
13.06 36.47 4.00
15.28 40.00 5.00
10.85 36.52 3.00
20.00 40.00 5.00
9.80 35.22 3.00
6.00 27.04 1.00
10.73 33.59 3.00
14.40 38.29 4.00
12.16 36.74 4.00
15.13 36.13 4.00
14.54 33.67 4.00
15.58 40.00 5.00
10.66 32.70 3.00
11.96 32.60 3.00
15.82 40.00 5.00
6.42 31.40 2.00
9.33 37.55 3.00
11.38 39.46 4.00
1.20 24.25 0.00
16.75 37.61 5.00
12.29 40.00 4.00
20.00 40.00 5.00
11.78 38.80 4.00
13.05 40.00 4.00
5.90 35.85 2.00
5.41 23.83 0.00
8.58 39.90 4.00
8.61 30.70 2.00
9.95 39.57 4.00
8.53 33.95 3.00
16.89 40.00 5.00
14.56 40.00 5.00
10.59 36.47 3.00
9.08 29.39 2.00
